date,ten_yr,three_mo
2012-12-21,31.04,36.04
2012-12-24,30.45,35.87
2012-12-25,29.32,35.23
2012-12-26,28.7,34.62
2012-12-27,28.28,34.04
2012-12-28,27.74,33.3
2012-12-31,27.22,32.81
2013-01-01,26.55,32.13
2013-01-02,26.91,31.23
2013-01-03,27.65,30.15
2013-01-04,28.08,29.09
2013-01-07,27.93,28.79
2013-01-08,28.25,27.66
2013-01-09,29.01,26.42
2013-01-10,29.88,25.45
2013-01-11,31.1,24.96
2013-01-14,31.62,24.57
2013-01-15,32.85,23.95
2013-01-16,33.85,23.51
2013-01-17,34.72,22.93
2013-01-18,36.61,22.02
2013-01-21,37.1,21.91
2013-01-22,37.66,21.37
2013-01-23,38.06,21.09
2013-01-24,38.09,21.16
2013-01-25,37.82,21.16
2013-01-28,37.7,21.22
2013-01-29,37.52,21.25
2013-01-30,37.58,21.57
2013-01-31,38.14,21.46
2013-02-01,38.03,21.55
2013-02-04,38.01,21.65
2013-02-05,38.1,21.5
2013-02-06,36.58,21.68
2013-02-07,35.89,21.45
2013-02-08,34.75,21.47
2013-02-11,34.27,21.34
2013-02-12,34.26,20.86
2013-02-13,34.27,20.53
2013-02-14,34.21,20.33
2013-02-15,34.58,20.29
2013-02-18,34.39,19.99
2013-02-19,34.01,20.24
2013-02-20,33.73,20.03
2013-02-21,33.52,19.79
2013-02-22,33.22,20.35
2013-02-25,33.39,20.42
2013-02-26,33.51,20.32
2013-02-27,33.43,20.31
2013-02-28,32.81,20.57
2013-03-01,32.09,20.64
2013-03-04,31.4,20.48
2013-03-05,30.91,20.75
2013-03-06,29.83,20.55
2013-03-07,29.23,20.47
2013-03-08,28.76,20.25
2013-03-11,28.14,20.79
2013-03-12,27.45,21.1
2013-03-13,27.01,21.14
2013-03-14,26.65,21.54
2013-03-15,26.63,21.76
2013-03-18,26.95,22.3
2013-03-19,27.29,22.76
2013-03-20,27.81,23.15
2013-03-21,29.06,23.85
2013-03-22,30.32,24.21
2013-03-25,30.6,24.68
2013-03-26,30.85,24.99
2013-03-27,31.17,24.99
2013-03-28,31.41,24.68
2013-03-29,31.64,24.65
2013-04-01,31.87,24.19
2013-04-02,32.0,23.84
2013-04-03,32.19,23.84
2013-04-04,32.48,24.01
2013-04-05,32.93,23.89
2013-04-08,33.22,24.06
2013-04-09,32.77,23.92
2013-04-10,32.1,23.83
2013-04-11,32.27,23.86
2013-04-12,32.32,23.71
2013-04-15,32.32,23.86
2013-04-16,32.3,23.8
2013-04-17,32.64,23.77
2013-04-18,32.63,24.1
2013-04-19,32.62,24.34
2013-04-22,32.42,24.4
2013-04-23,32.09,24.4
2013-04-24,31.65,24.5
2013-04-25,30.82,24.36
2013-04-26,29.75,24.18
2013-04-29,28.65,24.04
2013-04-30,27.86,23.81
2013-05-01,26.28,23.65
2013-05-02,25.11,23.66
2013-05-03,24.14,23.51
2013-05-06,22.88,23.48
2013-05-07,21.74,23.36
2013-05-08,20.82,23.2
2013-05-09,20.03,23.21
2013-05-10,17.92,23.07
2013-05-13,17.19,22.86
2013-05-14,16.51,22.98
2013-05-15,16.33,22.84
2013-05-16,16.31,22.85
2013-05-17,16.31,22.79
2013-05-20,16.59,22.88
2013-05-21,16.92,22.59
2013-05-22,17.22,22.77
2013-05-23,17.6,22.56
2013-05-24,17.87,22.43
2013-05-27,18.16,22.19
2013-05-28,18.77,21.97
2013-05-29,20.47,21.66
2013-05-30,20.53,21.31
2013-05-31,20.98,20.96
2013-06-03,21.38,20.91
2013-06-04,21.47,20.84
2013-06-05,21.57,20.87
2013-06-06,22.24,20.75
2013-06-07,22.51,20.48
2013-06-10,22.77,20.02
2013-06-11,22.98,19.78
2013-06-12,24.54,19.69
2013-06-13,25.68,19.76
2013-06-14,26.47,19.82
2013-06-17,27.83,19.68
2013-06-18,29.19,19.73
2013-06-19,30.52,19.51
2013-06-20,31.54,19.5
2013-06-21,32.85,19.39
2013-06-24,34.26,18.98
2013-06-25,35.76,19.02
2013-06-26,37.29,19.08
2013-06-27,38.87,19.09
2013-06-28,40.65,19.1
2013-07-01,40.95,18.92
2013-07-02,41.28,18.78
2013-07-03,41.79,18.19
2013-07-04,42.04,17.94
2013-07-05,42.55,17.74
2013-07-08,43.01,17.58
2013-07-09,43.52,17.37
2013-07-10,43.63,17.5
2013-07-11,43.5,17.78
2013-07-12,43.33,17.42
2013-07-15,42.75,17.2
2013-07-16,41.93,17.22
2013-07-17,40.7,17.09
2013-07-18,39.94,17.14
2013-07-19,39.41,17.01
2013-07-22,38.73,17.24
2013-07-23,37.89,17.73
2013-07-24,36.81,17.81
2013-07-25,36.24,17.89
2013-07-26,35.48,17.63
2013-07-29,34.98,16.94
2013-07-30,34.44,16.6
2013-07-31,33.62,16.36
2013-08-01,33.1,16.24
2013-08-02,32.7,16.01
2013-08-05,32.25,15.76
2013-08-06,31.74,15.54
2013-08-07,31.28,15.31
2013-08-08,30.85,15.41
2013-08-09,30.4,14.79
2013-08-12,30.63,14.58
2013-08-13,30.43,14.47
2013-08-14,30.61,14.81
2013-08-15,31.11,15.27
2013-08-16,31.63,15.47
2013-08-19,32.64,15.93
2013-08-20,33.45,16.29
2013-08-21,34.24,16.63
2013-08-22,35.35,16.78
