date,germany_10y,germany_30y,japan_10y,japan_30y,uk_10y,uk_30y,us_10y,us_30y
1982-12-14,,,,,,,10.462,
1982-12-15,,,,,,,10.502,
1982-12-16,,,,,,,10.592,
1982-12-17,,,,,,,10.642,
1982-12-20,,,,,,,10.702,
1982-12-21,,,,,,,10.542,
1982-12-22,,,,,,,10.532,
1982-12-23,,,,,,,10.472,
1982-12-27,,,,,,,10.428,
1982-12-28,,,,,,,10.428,
1982-12-29,,,,,,,10.447,
1982-12-30,,,,,,,10.434,
1982-12-31,,,,,,,10.389,
1983-01-03,,,,,,,10.322,
1983-01-04,,,,,,,10.372,
1983-01-05,,,,,,,10.352,
1983-01-06,,,,,,,10.392,
1983-01-07,,,,,,,10.362,
1983-01-10,,,,,,,10.382,
1983-01-11,,,,,,,10.342,
1983-01-12,,,,,,,10.322,
1983-01-13,,,,,,,10.272,
1983-01-14,,,,,,,10.282,
1983-01-17,,,,,,,10.282,
1983-01-18,,,,,,,10.302,
1983-01-19,,,,,,,10.412,
